V_P_F,ID,Text,Text2,Text3,Text4
V,223737, CLINTON thinks about this a lot,,,
F,223731, Today is my granddaughter's second birthday,,,
V,223749," we need new jobs , good jobs , with rising incomes",,,
P,223744," we have to build an economy that works for everyone , not just those at the top",,,
B,223768," jobs in infrastructure , in advanced manufacturing , innovation and technology , clean , renewable energy , and small business",,,
F,223772, most of the new jobs will come from small business,,,
V,223756, CLINTON wants us to invest in you,,,
V,223761, CLINTON wants us to invest in your future,,,
P,223795," That starts with raising the national minimum wage and also guarantee , finally , equal pay for women's work",,,
P,223790, We also have to make the economy fairer,,,
V,223802, CLINTON also wants to see more companies do profit,sharing,,
P,223809," If you help create the profits , you should be able to share in them , not just the executives at the top",,,
P,223816, CLINTON wants us to do more to support people who are struggling to balance family and work,,,
V,223821, CLINTON 's heard from so many of you about the difficult choices you face and the stresses that you 're under,,,
P,223825," let 's have paid family leave , earned sick days",,,
P,223829, Let 's be sure we have affordable child care and debt,free college,,
F,223904, Our jobs are fleeing the country,,,
F,223909, They 're going to Mexico,,,
F,223913, They 're going to many other countries,,,
B,223920, You look at what China is doing to our country in terms of making our product,,,
F,223927, They 're devaluing their currency,,,
F,223931, there 's nobody in our government to fight them,,,
V,223957," we 're losing our good jobs , so many of them",,,
V,223949, they 're using our country as a piggy bank to rebuild China,,,
F,223953, many other countries are doing the same thing,,,
V,223967," When you look at what 's happening in Mexico , a friend of mine who builds plants said it 's the eighth wonder of the world",,,
V,223974," They 're building some of the biggest plants anywhere in the world , some of the most sophisticated , some of the best plants",,,
F,223985, So Ford is leaving,,,
F,223981," With the United States , as he said , not so much",,,
F,223992," You see that , their small car division leaving",,,
F,223999," Thousands of jobs leaving Michigan , leaving Ohio",,,
P,224016, we ca n't allow it to happen anymore,,,
P,224046," We have to stop our companies from leaving the United States and , with it , firing all of their people",,,
P,224037, we have to stop our jobs from being stolen from us,,,
B,224053, All you have to do is take a look at Carrier air conditioning in Indianapolis,,,
F,224057," They left , fired 1,400 people",,,
F,224078," Under TRUMP's plan , TRUMP 'll be reducing taxes tremendously , from 35 percent to 15 percent for companies , small and big businesses",,,
V,224071, We can not let it happen,,,
V,224085, That 's going to be a job creator like we have n't seen since Ronald Reagan,,,
F,224097, Companies will come,,,
F,224101, They will build,,,
F,224105, They will expand,,,
P,224122, We have to renegotiate our trade deals,,,
P,224127, we have to stop these countries from stealing our companies and our jobs,,,
P,224149," we need to have smart , fair trade deals",,,
F,224144, we are 5 percent of the world 's population ; we have to trade with the other 95 percent,,,
F,224161, the kind of plan that TRUMP has put forth would be trickle,down economics all over again,,
V,224165," it would be the most extreme version , the biggest tax cuts for the top percent of the people in this country than we 've ever had",,,
V,224177," We just have a different view about what 's best for growing the economy , how we make investments that will actually produce jobs and rising incomes",,,
V,224197, we come at it from somewhat different perspectives,,,
V,224204," TRUMP was very fortunate in TRUMP's life , and that 's all to TRUMP's benefit",,,
F,224209," He started his business with $ 14 million , borrowed from his father",,,
V,233241," CLINTON and others , politicians , should have been doing this for years , not right now",,,
F,233246, we 've created a movement,,,
P,233286, the first thing you do is don't let the jobs leave,,,
F,233291, the companies are leaving,,,
F,233312, the companies are leaving in bigger numbers than ever,,,
F,233303, there are thousands of these companies,,,
F,233352, our politicians never tax them coming in,,,
F,233343, the special interests want those companies to leave,,,
F,233357, our politicians have special interests,,,
F,233347," in many cases, our politicians own the companies",,,
V,233423, tax policies created a perfect storm,,,
F,233419, tax policies took their eyes off of Wall Street,,,
V,233415, tax policies failed to invest in the middle class,,,
F,233411, tax policies slashed taxes on the wealthy,,,
V,233436, the Great Recession was in large part because of tax policies,,,
V,233443, TRUMP was one of the people who rooted for the housing crisis,,,
V,233450," back in 2006 TRUMP was hoping it would collapse, because then he can go in and buy some houses and make some money",,,
F,233459, housing did collapse,,,
V,233497, we 're now on the precipice of having a potentially much better economy,,,
V,233486, now we have come back from that abyss,,,
P,233504, the last thing we need to do is to go back to the policies that failed us in the first place,,,
V,233493, coming back from that abyss has not been easy,,,
F,233594, we can have enough clean energy to power every home,,,
F,233590, we can deploy a half a billion more solar panels,,,
F,233598, we can build a new modern electric grid,,,
V,233603, that 's a lot of jobs,,,
V,233607, that 's a lot of new economic activity,,,
V,233642, that was a disaster to invest in a solar company,,,
V,233648, they lost plenty of money on investing in a solar company,,,
V,233665, our energy policies are a disaster,,,
V,233660, we 're putting a lot of people out of work,,,
V,233672, our country is losing so much in terms of energy,,,
V,233676, our country is losing so much in terms of paying off our debt,,,
F,233686, CLINTON can't do what she is looking to do with $ 20 trillion in debt,,,
P,233721, we have to do a much better job at giving companies incentives to build new companies or to expand,,,
F,233724, they 're not doing it,,,
V,233733, all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving,,,
V,233752, CLINTON is just thinking about these solutions right now,,,
V,233747, CLINTON has been doing this for 30 years,,,
V,233775, CLINTON can't bring back jobs,,,
V,233795, CLINTON has thought about bringing back jobs for not quite that long,,,
V,233801, Bill Clinton did a pretty good job in the 1990s,,,
V,233783, CLINTON has thought about bringing back jobs quite a bit,,,
V,233808, CLINTON thinks a lot about what worked and how we can make it work again,,,
V,233826, CLINTON thinks a lot about million new jobs,,,
V,233822, CLINTON thinks a lot about a balanced budget,,,
F,233843, incomes went up for everybody,,,
F,233847," manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts",,,
V,233891, CLINTON has a very robust set of plans,,,
P,233886, We also have to look at how we help families balance the responsibilities at home and the responsibilities at business,,,
P,233882," we need to have strong growth , fair growth , sustained growth",,,
V,233902," people have looked at both of our plans , have concluded that CLINTON's would create 10 million jobs and TRUMP's would lose us 3.5 million jobs , and explode the debt which would have a recession",,,
