id,proposition,sen_length,longest_word,pos_nouns,pos_pnouns,pos_verbs,pos_adjectives,pos_numerical,pos_modal_verbs,actual,predicted,pos_verbs,prediction_fact,prediction_policy,prediction_value,speciteller,color_w1,color_w2,color_w3,color_w4,color_w5,color_w6,color_w7,color_w8,color_w9,color_w10,color_w11,color_w12,color_w13,color_w14,color_w15,color_w16,color_w17,color_w18,color_w19,color_w20,color_w21,color_w22,color_w23,color_w24,color_w25,color_w26,color_w27,color_w28,color_w29,color_w30,color_w31,color_w32,color_w33,color_w34,color_w35,color_w36,color_w37,color_w38,color_w39,color_w40,color_w41
0,TRUMP was very strong on this and it was actually covered very accurately in the New York Times which is unusual for the New York Times to be honest but TRUMP said they do not focus on terror,2,10,1,8,3,3,0,0,Value,Value,1,0.455298447,0.022281449,0.522420104,0.043249,0,-0.052673828,0,0.042652356,0,0,0,0,-0.052673828,0,0,0,0,0,0,-0.039236954,-0.031953404,0,0,0,0,0,0,-0.039236954,-0.031953404,0,0,0,0,0,0,-0.02197582,0,0,0,0,0,0.020592844,0,0,0
1,we need to have strong growth fair growth sustained growth,2,9,3,0,1,3,0,0,Policy,Policy,0,0.084135981,0.511308516,0.404555503,0.010491,0.013122517,0.059159134,0.017267184,0,0.236227814,-0.417013265,0.156961223,-0.417013265,0,-0.417013265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,USA have got to defeat ISIS,3,6,0,2,2,0,0,0,Policy,Policy,2,0.146980437,0.664366249,0.188653314,0.184659,0.030759547,0.02957726,-0.03393482,0.042474406,0.315327891,0.039195739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,in a way TRUMP should be complaining,4,11,1,1,2,0,0,1,Policy,Fact,2,0.418168083,0.315492077,0.26633984,0.009388,-0.05119344,0,0.013402447,-0.064589327,0.264516835,0.047183165,-0.086277724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CLINTON is going to approve one of the biggest tax cuts in history,5,7,3,1,2,1,1,0,Fact,Value,2,0.113620044,0.012883785,0.873496171,0.00124,0,-0.008003326,0,0.004426733,0,-0.006447591,0,0,-0.014579102,-0.022514058,0,0,-0.003414184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CLINTON learns a lot from financial disclosure,6,10,2,1,1,1,0,0,Value,Policy,2,0.301897444,0.53705017,0.161052387,0.018025,-0.020326268,-0.001628428,0,-0.208318185,0.029718315,0.176096733,0.312428186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,there is the bureaucratic red tape,7,12,1,0,0,2,0,0,Value,Value,2,0.060012486,0.017925893,0.922061621,0.035667,-0.034547653,-0.012896434,0.000488694,-0.004614273,-0.004732997,-0.004436081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,When the audit complete TRUMP ll do it,8,8,1,1,1,1,0,1,Policy,Fact,3,0.523426273,0.040883615,0.435690112,0.463666,-0.021834303,0,0.007587717,0,-0.013475624,-0.029888433,0.020610241,-0.019628828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,TRUMP wants to get on to creating jobs,9,8,1,1,2,0,0,0,Policy,Value,1,0.090012544,0.454048117,0.455939339,0.002134,-0.085574934,0.254078801,0.052805273,0.107309656,0.00878146,0.052805273,0,-0.109609024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CLINTON is wrong,58,7,0,1,0,1,0,0,Value,Value,2,0.084081705,0.043361002,0.872557293,0.020006,-0.007962962,-0.038926757,-0.016954271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,TRUMP just got today the as you know the endorsement of the Fraternal Order of Police we just just came in,105,11,4,2,3,0,0,0,Fact,Value,4,0.396067596,0.046415222,0.557517182,0.050992,-0.010499489,-0.024155488,0.009219427,-0.01147138,0,0,-0.009718426,0,0,0,-0.009894023,0,0,0,-0.009894023,0,0,-0.024155488,-0.024155488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,TRUMP just left Detroit TRUMP just left Philadelphia and TRUMP has been all over the place,91,13,1,5,2,0,0,0,Fact,Value,4,0.362240853,0.023390748,0.614368399,0.054899,-0.016019267,-0.013519607,0,0,-0.016019267,-0.013519607,0,0,0,-0.016019267,-0.01928269,-0.03192996,0,-0.027565479,0,0.031620095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
